|coffee_shop_name|review_text|rating|num_rating|cat_rating|bool_HIGH|overall_sent|vibe_sent|tea_sent|service_sent|seating_sent|price_sent|parking_sent|location_sent|alcohol_sent|coffee_sent|food_sent|hours_sent|internet_sent|local_sent
0|The Factory - Cafe With a Soul |11/25/2016 1 check-in Love love loved the vibe! Every corner of the coffee shop had its own style, and there were swings!!! I ordered the matcha coffee, and it was muy fantastico! Ordering and getting my drink were pretty streamlined. I ordered on an iPad, which included all beverage selections that ranged from coffee to alcohol, desired level of sweetness, and a checkout system. I got my coffee within minutes!  I was hoping for a typical heart or feather on my coffee, but found myself listing out all the possibilities of what the vibe may be. Any ideas?|5.0 star rating|5|HIGH|1|4|3|0|0|0|0|0|0|1|3|0|0.0|0|0
233|Mozart's Coffee Roasters |9/21/2016 1 check-in Scenery 10/10. Coffee 10/10. More can you ask for !  Mozart can be super casual, super romantic, super exciting, super calming. This place has more out door seating than indoor. That's because they have a big seating that is two stories high. It looks over a beautiful lake. You can watch vibe riding their boats, jet skis, etc.  They had so many choices of drinks it was hard to choose! I tried their coffee on tap and it was really good! who knew! ice coffee on tap? The price range is just a little on the bad price side but i think its worth :)  I really enjoyed coming here with my best friend. I would definitely recommend this place for any occasion ^^ Hazelnut coffee Large|5.0 star rating|5|HIGH|1|4|0|0|0|0|-1|0|0|0|1|0|0.0|0|0
931|Venezia Italian Gelato |6/19/2016 After sampling several food places across the country, Venezia is by far #1 on my list.  The favors and variety are exceptional...to say they are incredibly delicious is such an understatement!!  The authenticity of true Italians cannot be matched, each time I've been in, and it's been several...the services have always been so nice and treating everyone as if they are long lost friends.    The vibe is kept clean and simple with a black and white theme.  If you haven't been... You must go; and go now!!  Enjoy!! I'll see you there!!|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|0|0|0.0|0|0
1101|The Factory - Cafe With a Soul |11/25/2016 1 check-in Love love loved the vibe! Every corner of the coffee shop had its own style, and there were swings!!! I ordered the matcha coffee, and it was muy fantastico! Ordering and getting my drink were pretty streamlined. I ordered on an iPad, which included all beverage selections that ranged from coffee to alcohol, desired level of sweetness, and a checkout system. I got my coffee within minutes!  I was hoping for a typical heart or feather on my coffee, but found myself listing out all the possibilities of what the vibe may be. Any ideas?|5.0 star rating|5|HIGH|1|4|4|0|0|0|0|0|0|0|0|0|0.0|0|0
1466|Figure 8 Coffee Purveyors|11/28/2016 2 check-ins Really excellent coffee. A lovely space to work. Need I say more?|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|4|0|0.0|0|0
1591|MaГ±ana Coffee & Juice |5/30/2016 Manana was brand new to me, just went to try it on a whim since a friend suggested it! Absolutely loved the minimalist vibe and the simplicity of the menu. Made it that much easier to choose something delicious to try. I had the iced coffee and added a little bit of agave nectar. It was amazing! Really enjoyed sipping my coffee on the outdoor seating as well. Will definitely be coming back next time I'm on SoCo.|5.0 star rating|5|HIGH|1|4|4|0|0|0|0|0|0|0|3|0|0.0|0|0
2008|The Factory - Cafe With a Soul |11/25/2016 1 check-in Love love loved the vibe! Every corner of the coffee shop had its own style, and there were swings!!! I ordered the matcha coffee, and it was muy fantastico! Ordering and getting my drink were pretty streamlined. I ordered on an iPad, which included all beverage selections that ranged from coffee to alcohol, desired level of sweetness, and a checkout system. I got my coffee within minutes!  I was hoping for a typical heart or feather on my coffee, but found myself listing out all the possibilities of what the vibe may be. Any ideas?|5.0 star rating|5|HIGH|1|4|4|0|0|0|0|0|0|0|0|0|0.0|0|0
2213|Flat Track Coffee |12/28/2013 Wow.  Wow.    Best coffee In Austin.....actually, best coffee in Texas.  pared down little place with the friendliest and most gorgeous service.  Velvety smooth.  if you want a coffee or coffee....please come here.  I absolutely adore this tiny gem.|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|1|0|0.0|0|0
2595|Flightpath Coffeehouse |"8/13/2015 Digital Nomad Cafe Score - 5/5  seatinging - 5 Coffee - 5 Food - 5 Service - 5 Plugins - 5 internet - 5  (speedtest.net results - 12mbps down, .64mbps up) vibe - 5 Bathrooms - 4  Super hip, lots of space, lots of cool vibe being very productive.  First place I've ever seen as having a ""tab"" that you could start, basically saying that they understand and appreciate that their patrons will be hanging out for a long time studying or working. Pretty nice touch.  Exceptionally friendly to all-day visitors  They also serve classically austin foods at the counter  Really excellent seating with lots of space  Exceptional internet Speed  Really cooky vibeations like a vintage vaccum cleaner that's been turned into a lamp"|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|0|0|0.0|0|0
2681|Third Coast Coffee Roasting Company |8/22/2009 I've never visited the store. However, I got hooked on their coffee several years ago when they sold it in bulk via Central Market up in Dallas. I now mail order directly from their web site.  Third Coast has really excellent coffee. I keep Double French Roast on hand at my house at all times. Dark, tart, and smart. :-)|5.0 star rating|5|HIGH|1|4|0|0|0|0|0|0|0|0|4|0|0.0|0|0
