,date,conds,fog,hail,rain,snow,tempi,visi
0,2015-05-24,Mostly Cloudy,0,0,0,0,64.0,10.0
0,2015-10-29,Light Rain,0,0,1,0,44.1,10.0
0,2015-11-06,Overcast,0,0,0,0,43.0,10.0
0,2015-09-27,Clear,0,0,0,0,66.0,10.0
0,2015-04-01,Clear,0,0,0,0,54.0,10.0
0,2015-06-16,Clear,0,0,0,0,63.0,10.0
0,2015-08-28,Clear,0,0,0,0,68.0,10.0
0,2015-08-30,Overcast,0,0,0,0,64.0,10.0
0,2015-05-15,Overcast,0,0,0,0,52.0,6.0
0,2015-03-06,Mostly Cloudy,0,0,0,0,19.9,10.0
0,2015-01-24,Clear,0,0,0,0,32.0,8.0
0,2015-05-07,Light Rain,0,0,1,0,66.0,10.0
0,2015-01-02,Overcast,0,0,0,0,12.9,10.0
0,2015-09-01,Clear,0,0,0,0,75.9,8.0
0,2015-10-17,Clear,0,0,0,0,37.0,10.0
0,2015-08-10,Clear,0,0,0,0,73.0,10.0
0,2015-05-23,Partly Cloudy,0,0,0,0,63.0,10.0
0,2015-11-04,Mostly Cloudy,0,0,0,0,57.9,8.0
0,2015-09-14,Clear,0,0,0,0,64.9,10.0
0,2015-02-08,Clear,0,0,0,0,28.0,9.0
0,2015-11-27,Clear,0,0,0,0,18.0,10.0
0,2015-02-13,Overcast,0,0,0,0,18.0,10.0
0,2015-11-03,Clear,0,0,0,0,43.0,2.5
0,2015-10-28,Light Rain,0,0,1,0,48.0,3.0
0,2015-07-17,Clear,0,0,0,0,66.0,4.0
0,2015-01-26,Overcast,0,0,0,0,28.9,10.0
0,2015-09-07,Clear,0,0,0,0,69.1,10.0
0,2015-02-01,Overcast,0,0,0,0,16.0,10.0
0,2015-02-20,Light Snow,0,0,0,1,9.0,2.5
0,2015-01-18,Clear,0,0,0,0,28.9,10.0
0,2015-06-24,Clear,0,0,0,0,73.0,10.0
0,2015-04-08,Overcast,0,0,0,0,39.0,10.0
0,2015-05-17,Overcast,0,0,0,0,70.0,10.0
0,2015-04-20,Overcast,0,0,0,0,37.9,10.0
0,2015-02-21,Overcast,0,0,0,0,17.1,10.0
0,2015-06-28,Mostly Cloudy,0,0,0,0,71.1,10.0
0,2015-08-24,Overcast,0,0,0,0,57.0,10.0
0,2015-09-29,Clear,0,0,0,0,52.0,10.0
0,2015-04-18,Clear,0,0,0,0,55.0,10.0
0,2015-01-22,Overcast,0,0,0,0,24.1,8.0
0,2015-03-02,Clear,0,0,0,0,17.1,10.0
0,2015-03-31,Clear,0,0,0,0,44.1,10.0
0,2015-11-24,Clear,0,0,0,0,34.0,10.0
